system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,cloud_cover,date,img_qual,lat,lon,radsat_qa_median,sensor,solar_az,solar_zen,sr_atmos_opacity_median,sr_cloud_qa_median,.geo
1_1_LT05_014029_19990915_0000000000000000000e,758.0,16,1023.0,999.0,3272.0,2089.0,2786.0,1065.0,48.0,1999-09-15,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,146.741501,46.416046,281.0,0.0,
1_1_LT05_014029_20000512_0000000000000000000e,20000.0,16,5858.0,5818.0,5986.0,3373.0,2356.0,2540.0,38.0,2000-05-12,9.0,43.973099524179624,-74.22309706042795,2.0,LANDSAT_5,134.971176,33.057693,287.0,34.0,
1_1_LT05_014029_20000629_0000000000000000000e,3361.0,16,3407.0,3249.0,4674.0,3730.0,2702.0,3172.0,58.0,2000-06-29,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,127.352554,29.885601,609.0,2.0,
1_1_LT05_014029_20000816_0000000000000000000e,20000.0,16,7051.0,7045.0,8013.0,6610.0,2792.0,5261.0,49.0,2000-08-16,9.0,43.973099524179624,-74.22309706042795,2.0,LANDSAT_5,137.174454,37.897911,192.0,34.0,
1_1_LT05_014029_20000901_0000000000000000000e,20000.0,16,7153.0,7085.0,7356.0,5457.0,2846.0,3817.0,53.0,2000-09-01,9.0,43.973099524179624,-74.22309706042795,2.0,LANDSAT_5,142.718369,42.230526,283.0,34.0,
1_1_LT05_014029_20000917_0000000000000000000e,411.0,16,670.0,633.0,2508.0,1688.0,2841.0,761.0,82.0,2000-09-17,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,148.089218,47.167927,90.0,0.0,
1_1_LT05_014029_20010515_0000000000000000000e,597.0,16,953.0,1094.0,2679.0,2927.0,2883.0,1851.0,45.0,2001-05-15,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,136.04364,31.918266,9.0,0.0,
1_1_LT05_014029_20010531_0000000000000000000e,852.0,16,1152.0,1009.0,3547.0,2539.0,2850.0,1410.0,67.0,2001-05-31,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,132.324188,29.577843,289.0,0.0,
1_1_LT05_014029_20010616_0000000000000000000e,2510.0,16,2613.0,2451.0,3922.0,2084.0,2628.0,1448.0,43.0,2001-06-16,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,129.514404,28.862812,417.0,2.0,
1_1_LT05_014029_20010702_0000000000000000000e,893.0,16,1068.0,1038.0,2563.0,1860.0,2792.0,1502.0,23.0,2001-07-02,9.0,43.973099524179624,-74.22309706042795,0.0,LANDSAT_5,128.701431,29.622971,129.0,8.0,
