system:index,B1_median,B2_count,B2_median,B3_median,B4_median,B5_median,B6_median,B7_median,NO3,cloud_cover,date,elev,img_qual,lat,lon,ppt,radsat_qa_median,sensor,solar_az,solar_zen,sr_atmos_opacity_median,sr_cloud_qa_median,.geo
1_1_LT05_014029_20080822_0000000000000000000e,331.0,16,577.0,460.0,3342.0,1970.0,2942.0,898.0,0.79,2.0,2008-08-22,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,141.929871,38.592518,104.0,0.0,
1_1_LT05_014029_20080923_0000000000000000000e,425.0,16,587.0,532.0,2855.0,1989.0,2865.0,948.0,0.79,6.0,2008-09-23,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,151.868835,48.634815,78.0,0.0,
1_1_LT05_014029_20090521_0000000000000000000e,474.0,16,838.0,768.0,2704.0,2430.0,2990.0,1307.0,0.79,0.0,2009-05-21,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,137.678391,29.861713,23.0,0.0,
1_1_LT05_014029_20090622_0000000000000000000e,519.5,11,860.5,622.0,4538.0,2416.0,2911.0,1009.0,0.79,83.0,2009-06-22,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,132.168915,27.846977,140.0,0.0,
1_1_LT05_014029_20090825_0000000000000000000e,550.0,16,775.0,577.0,4251.0,2517.0,2915.0,1156.0,0.79,31.0,2009-08-25,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,144.272034,38.922577,288.0,0.0,
1_1_LT05_014029_20090926_0000000000000000000e,321.0,16,527.0,521.0,2634.0,2030.0,2850.0,940.0,0.79,0.0,2009-09-26,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,154.336502,49.118843,9.0,0.0,
1_1_LT05_014029_20100524_0000000000000000000e,528.0,16,881.0,772.0,3295.0,2476.0,2929.0,1393.0,0.79,17.0,2010-05-24,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,138.160797,29.120167,158.0,0.0,
1_1_LT05_014029_20100625_0000000000000000000e,339.0,16,597.0,453.0,3863.0,2092.0,2924.0,891.0,0.79,32.0,2010-06-25,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,132.816757,27.707901,96.0,0.0,
1_1_LT05_014029_20100711_0000000000000000000e,402.0,16,693.0,528.0,3982.0,2191.0,2951.0,1017.0,0.79,30.0,2010-07-11,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,133.215286,29.183067,185.0,0.0,
1_1_LT05_014029_20100828_0000000000000000000e,324.0,16,538.0,459.0,3187.0,2067.0,2911.0,840.0,0.79,16.0,2010-08-28,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,145.430023,39.655327,143.0,0.0,
1_1_LT05_014029_20110511_0000000000000000000e,604.0,16,859.0,1052.0,2661.0,3086.0,2929.0,1826.0,0.79,33.0,2011-05-11,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,140.699402,31.747108,55.0,0.0,
1_1_LT05_014029_20110714_0000000000000000000e,287.0,16,574.0,405.0,4031.0,1944.0,2924.0,832.0,0.79,4.0,2011-07-14,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,132.98027,29.739639,95.0,0.0,
1_1_LT05_014029_20110730_0000000000000000000e,327.0,16,662.0,470.0,3864.0,2052.0,2924.0,867.0,0.79,53.0,2011-07-30,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,136.015259,32.504417,141.0,0.0,
1_1_LT05_014029_20110831_0000000000000000000e,580.0,16,775.0,607.0,3782.0,2121.0,2888.0,938.0,0.79,56.0,2011-08-31,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,145.795044,40.633484,361.0,0.0,
1_1_LT05_014030_19840617_0000000000000000000e,583.0,16,887.0,917.0,2476.0,2843.0,2929.0,1787.0,0.79,47.0,1984-06-17,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,122.481728,29.981098,180.0,0.0,
1_1_LT05_014030_19840820_0000000000000000000e,489.0,16,797.0,794.0,3024.0,2509.0,2906.0,1494.0,0.79,33.0,1984-08-20,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,133.967743,39.103176,55.0,0.0,
1_1_LT05_014030_19850620_0000000000000000000e,441.0,16,756.0,638.0,2963.0,2130.0,2897.0,1300.0,0.79,46.0,1985-06-20,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,122.782097,29.792683,181.0,0.0,
1_1_LT05_014030_19850722_0000000000000000000e,362.0,16,713.0,569.0,3521.0,2199.0,2929.0,1162.0,0.79,42.0,1985-07-22,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,125.105499,33.02248,61.0,0.0,
1_1_LT05_014030_19860826_0000000000000000000e,399.0,16,714.0,621.0,3174.0,2519.0,2888.0,1305.0,0.79,0.0,1986-08-26,500,9.0,43.973099524179624,-74.22309706042795,53.34,0.0,LANDSAT_5,133.308319,41.58852,54.0,0.0,
